subject,paper_subject,condition,local_error,paper_error,diff_error_local_minus_paper,abs_diff_error,local_RT,paper_RT,diff_RT_local_minus_paper,abs_diff_RT,local_n_valid,local_n_total_class,local_n_unusable_class,local_n_trimmed_class
s01,1,toward,13.0430528375734,13.0610236220472,-0.0179707844738139,0.0179707844738139,669.499021526419,665.606299212598,3.89272231382085,3.89272231382085,511,521,0,10
s01,1,no,12.7682926829268,12.6604938271605,0.107798855766328,0.107798855766328,614.237804878049,618.407407407407,-4.16960252935826,4.16960252935826,164,169,1,5
s01,1,away,13.0167364016736,13.0524193548387,-0.0356829531650593,0.0356829531650593,623.916317991632,617.274193548387,6.64212444324482,6.64212444324482,239,246,0,7
s02,2,toward,11.2711538461538,11.0696324951644,0.201521350989445,0.201521350989445,451.526923076923,453.348162475822,-1.82123939889891,1.82123939889891,520,530,5,10
s02,2,no,14.6036036036036,15.9181818181818,-1.3145782145782,1.3145782145782,439.77027027027,438.213636363636,1.55663390663426,1.55663390663426,222,229,25,7
s02,2,away,12.8779069767442,13.2472527472527,-0.369345770508515,0.369345770508515,428.162790697674,428.807692307692,-0.644901610017541,0.644901610017541,172,174,5,2
s03,3,toward,16.6894409937888,17.358024691358,-0.668583697569179,0.668583697569179,742.239130434783,752.283950617284,-10.0448201825013,10.0448201825013,322,363,22,41
s03,3,no,15.9630872483221,16.771986970684,-0.808899722361852,0.808899722361852,772.006711409396,837.778501628665,-65.7717902192691,65.7717902192691,298,324,58,26
s03,3,away,15.5483870967742,16.0093896713615,-0.461002574587306,0.461002574587306,781.884792626728,777.948356807512,3.93643581921606,3.93643581921606,217,261,17,44
s04,4,toward,14.4692144373673,14.3382978723404,0.130916565026904,0.130916565026904,788.934182590233,791.03829787234,-2.10411528210648,2.10411528210648,471,491,6,20
s04,4,no,11.5392491467577,12.1157894736842,-0.576540326926521,0.576540326926521,745.453924914676,766.736842105263,-21.2829171905872,21.2829171905872,293,311,18,18
s04,4,away,16.4525547445255,14.7132867132867,1.73926803123885,1.73926803123885,814.861313868613,806.629370629371,8.23194323924213,8.23194323924213,137,150,3,13
s06,5,toward,12.5763688760807,12.4264705882353,0.14989828784539,0.14989828784539,704.391930835735,699.541176470588,4.85075436514694,4.85075436514694,347,357,25,10
s06,5,no,11.7756097560976,12.0594059405941,-0.28379618449654,0.28379618449654,632.853658536585,634.341584158416,-1.48792562183064,1.48792562183064,205,208,27,3
s06,5,away,15.4666666666667,15.8577075098814,-0.391040843214734,0.391040843214734,734.549019607843,732.359683794466,2.18933581337706,2.18933581337706,255,259,24,4
s08,6,toward,11.1233766233766,11.2274143302181,-0.104037706841476,0.104037706841476,726.753246753247,718.566978193146,8.18626856010076,8.18626856010076,308,326,11,18
s08,6,no,11.0183727034121,10.8666666666667,0.151706036745374,0.151706036745374,651.162729658793,658.541666666667,-7.37893700787436,7.37893700787436,381,403,11,22
s08,6,away,12.3496503496504,12.9316770186335,-0.582026668983151,0.582026668983151,723.286713286713,730.167701863354,-6.88098857664068,6.88098857664068,143,151,4,8
s09,7,toward,9.45060240963855,9.41626794258373,0.0343344670548245,0.0343344670548245,703.265060240964,697.978468899522,5.28659134144186,5.28659134144186,415,415,54,0
s09,7,no,9.6375,9.82636655948553,-0.188866559485531,0.188866559485531,837.884375,841.099678456592,-3.21530345659198,3.21530345659198,320,338,240,18
s09,7,away,8.11965811965812,8.30701754385965,-0.187359424201532,0.187359424201532,676.098290598291,678.578947368421,-2.48065677013039,2.48065677013039,234,241,34,7
s10,8,toward,14.3806818181818,14.2457142857143,0.134967532467519,0.134967532467519,776.732954545455,768.548571428571,8.18438311688351,8.18438311688351,176,181,1,5
s10,8,no,14.6164079822616,14.7016317016317,-0.0852237193700578,0.0852237193700578,741.911308203991,737.006993006993,4.90431519699814,4.90431519699814,451,465,2,14
s10,8,away,12.4869565217391,14.1913043478261,-1.70434782608697,1.70434782608697,766.730434782609,771.139130434783,-4.4086956521744,4.4086956521744,115,117,1,2
s11,9,toward,12.7458193979933,12.6689655172414,0.0768538807519104,0.0768538807519104,584.615384615385,581.472413793103,3.14297082228165,3.14297082228165,299,315,6,16
s11,9,no,14.259842519685,14.3711340206186,-0.111291500933561,0.111291500933561,504.251968503937,507.375257731959,-3.12328922802197,3.12328922802197,508,518,97,10
s11,9,away,14.6121212121212,14.7455621301775,-0.133440918056289,0.133440918056289,547.533333333333,545.763313609467,1.77001972386631,1.77001972386631,165,170,4,5
s12,10,toward,13.0316301703163,13.1004784688995,-0.0688482985831982,0.0688482985831982,549.321167883212,548.543062200957,0.778105682254704,0.778105682254704,411,430,8,19
s12,10,no,13.7782608695652,15.3318777292576,-1.55361685969238,1.55361685969238,542.4,562.414847161572,-20.014847161572,20.014847161572,230,243,18,13
s12,10,away,16.0616740088106,16.6891891891892,-0.627515180378627,0.627515180378627,587.515418502203,581.963963963964,5.55145453823866,5.55145453823866,227,232,5,5
s13,11,toward,22.1908602150538,21.7743902439024,0.416469971151365,0.416469971151365,543.948924731183,546.603658536585,-2.6547338054022,2.6547338054022,372,380,44,8
s13,11,no,22.8504155124654,23.4878640776699,-0.637448565204526,0.637448565204526,544.576177285319,551.665048543689,-7.08887125837043,7.08887125837043,361,374,201,13
s13,11,away,24.1959183673469,24.7748917748918,-0.578973407544861,0.578973407544861,526.310204081633,526.095238095238,0.214965986394645,0.214965986394645,245,253,35,8
s14,12,toward,15.8575342465753,16.0714285714286,-0.213894324853259,0.213894324853259,1069.2602739726,1090.37428571429,-21.1140117416871,21.1140117416871,365,412,39,47
s14,12,no,19.6582278481013,19.6781609195402,-0.0199330714389347,0.0199330714389347,1229.37025316456,1321.22701149425,-91.8567583296931,91.8567583296931,316,420,149,104
s14,12,away,20.5753424657534,20.8741721854305,-0.298829719677073,0.298829719677073,1247.51369863014,1333.72185430464,-86.2081556745029,86.2081556745029,146,189,31,43
s15,13,toward,9.73652694610778,9.49122807017544,0.245298875932344,0.245298875932344,1071.32734530938,1075.44249512671,-4.11514981732876,4.11514981732876,501,535,27,34
s15,13,no,9.7603305785124,10.1654135338346,-0.405082955322204,0.405082955322204,1165.33884297521,1169.12030075188,-3.78145777667328,3.78145777667328,121,132,30,11
s15,13,away,11.3216374269006,10.7987421383648,0.522895288535786,0.522895288535786,1059.47368421053,1057.79245283019,1.68123138033616,1.68123138033616,171,178,8,7
s16,14,toward,17.7714285714286,18.4764150943396,-0.704986522911028,0.704986522911028,611.171428571429,617.783018867925,-6.61159029649639,6.61159029649639,210,218,1,8
s16,14,no,18.1894273127753,17.958605664488,0.230821648287328,0.230821648287328,609.041850220264,611.226579520697,-2.18472930043265,2.18472930043265,454,470,11,16
s16,14,away,16.4715447154472,18.2098765432099,-1.73833182776275,1.73833182776275,586.341463414634,588.179012345679,-1.83754893104481,1.83754893104481,123,129,1,6
s17,15,toward,11.2202166064982,11.0559440559441,0.164272550554095,0.164272550554095,824.808664259928,827.793706293706,-2.9850420337782,2.9850420337782,277,285,1,8
s17,15,no,11.7146171693736,12.2813238770686,-0.566706707695049,0.566706707695049,840.313225058005,841.550827423168,-1.23760236516341,1.23760236516341,431,451,85,20
s17,15,away,12.6544117647059,13.8051948051948,-1.15078304048892,1.15078304048892,868.330882352941,900.077922077922,-31.7470397249808,31.7470397249808,136,144,9,8
s18,16,toward,14.1627906976744,14.2588235294118,-0.0960328317373804,0.0960328317373804,855.959302325581,857.614705882353,-1.6554035567716,1.6554035567716,344,366,29,22
s18,16,no,16.0728476821192,16.7525562372188,-0.679708555099594,0.679708555099594,924.011037527594,943.026584867076,-19.0155473394823,19.0155473394823,453,489,249,36
s18,16,away,16.301724137931,15.4220183486239,0.879705789307135,0.879705789307135,865.560344827586,876.330275229358,-10.7699304017718,10.7699304017718,116,125,29,9
s19,17,toward,12.1328671328671,13.1503759398496,-1.01750880698247,1.01750880698247,518.230769230769,517.676691729323,0.554077501446272,0.554077501446272,143,145,3,2
s19,17,no,10.4299242424242,10.4885496183206,-0.0586253758963586,0.0586253758963586,493.986742424242,492.347328244275,1.63941417996745,1.63941417996745,528,543,14,15
s19,17,away,10.4367816091954,11.1851851851852,-0.748403575989798,0.748403575989798,507.011494252874,515.148148148148,-8.13665389527449,8.13665389527449,87,91,2,4
s20,18,toward,12.9964285714286,13.493006993007,-0.496578421578429,0.496578421578429,563.203571428571,566.835664335664,-3.63209290709256,3.63209290709256,280,297,1,17
s20,18,no,9.02992518703242,9.1457800511509,-0.115854864118482,0.115854864118482,545.019950124688,545.928388746803,-0.908438622114659,0.908438622114659,401,409,4,8
s20,18,away,14.627802690583,13.9170506912442,0.710751999338759,0.710751999338759,570.14798206278,565.258064516129,4.88991754665119,4.88991754665119,223,235,1,12
s21,19,toward,16.741847826087,16.3112947658402,0.430553060246758,0.430553060246758,683.535326086957,685.101928374656,-1.56660228769954,1.56660228769954,368,386,4,18
s21,19,no,17.3957703927492,17.3090909090909,0.0866794836583438,0.0866794836583438,727.474320241692,732.715151515152,-5.24083127346012,5.24083127346012,331,348,3,17
s21,19,away,14.8425196850394,15.8833333333333,-1.04081364829393,1.04081364829393,650.811023622047,655.691666666667,-4.88064304461966,4.88064304461966,127,130,1,3
s22,20,toward,8.60599571734475,8.89293361884368,-0.286937901498925,0.286937901498925,674.441113490364,676.813704496788,-2.37259100642393,2.37259100642393,467,478,1,11
s22,20,no,8.52808988764045,8.59883720930233,-0.0707473216618801,0.0707473216618801,608.101123595506,609.813953488372,-1.71282989286635,1.71282989286635,178,183,1,5
s22,20,away,11.4444444444444,11.6313559322034,-0.186911487758955,0.186911487758955,633.119658119658,628.008474576271,5.11118354338703,5.11118354338703,234,242,1,8
s23,21,toward,9.0042735042735,8.9957264957265,0.00854700854700496,0.00854700854700496,544.491452991453,542.623931623932,1.86752136752102,1.86752136752102,234,238,0,4
s23,21,no,10.1228571428571,10.1034482758621,0.0194088669950432,0.0194088669950432,559.731428571429,560.031609195402,-0.300180623973461,0.300180623973461,350,371,12,21
s23,21,away,11.0671140939597,10.8588957055215,0.208218388438231,0.208218388438231,518.912751677852,524.098159509202,-5.18540783134961,5.18540783134961,149,152,0,3
s24,22,toward,23.8178694158076,24.4119718309859,-0.594102415178341,0.594102415178341,1006.35395189003,1014.46830985915,-8.11435796911564,8.11435796911564,291,316,16,25
s24,22,no,27.2395437262357,27.7604562737643,-0.52091254752856,0.52091254752856,1036.88593155894,1055.28897338403,-18.4030418250945,18.4030418250945,263,276,42,13
s24,22,away,23.1965317919075,23.4880952380952,-0.291563446187688,0.291563446187688,1153.28323699422,1165.97023809524,-12.6870011010203,12.6870011010203,173,194,12,21
s25,23,toward,9.17452830188679,9.06801007556675,0.106518226320041,0.106518226320041,786.382075471698,785.503778337532,0.878297134166132,0.878297134166132,424,438,3,14
s25,23,no,9.86170212765957,9.54466858789625,0.317033539763324,0.317033539763324,715.989361702128,729.893371757925,-13.9040100557974,13.9040100557974,282,292,17,10
s25,23,away,8.86046511627907,9.01923076923077,-0.158765652951701,0.158765652951701,735.145348837209,735.538461538462,-0.393112701252676,0.393112701252676,172,173,1,1
